name	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10	CD_11	CD_12	CD_13	CD_14	CT_11	CT_12	CT_13	CT_14	CT_15	CT_16	CT_17	CT_18	CT_19	CT_20	CT_21	CT_22	CT_23	CT_24	CT_25	CT_26	CT_27	CT_28	CT_1	CT_2	CT_3	CT_4	CT_5	CT_6	CT_7	CT_8	CT_9	CD_28	CD_15	CD_16	CD_17	CD_18	CD_19	CD_20	CD_21	CD_22	CD_29	CD_30	CD_31	CD_32	CT_10	CD_23	CD_24	CD_25	CD_26	CD_27
g__UBA1819	0	507	33	0	2	27	0	0	18	0	0	69	5	2	171	21	32	17	47	114	420	0	7	47	0	52	25	19	12	0	3	0	21	25	12	7	14	56	9	19	21	10	0	155	29	0	4	16	8	2	5	10	9	3	106	2	19	0	91	11
g__Tyzzerella	8	0	652	0	0	14	0	0	0	0	10	0	557	0	12	9	96	34	1569	99	378	87	13	123	16	148	315	362	63	0	42	1007	23	0	111	9	380	86	18	52	4	80	22	43	54	371	32	64	730	44	83	144	62	84	168	4	8	0	1169	0
g__Tuzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
g__Turicibacter	0	44	15	11	3	7	24	11	11	37	0	14	11	8	0	0	0	19	27	154	0	527	0	7	0	16	0	34	24	0	0	6	24	94	11	67	2765	34	13	2	29	10	0	0	0	0	0	5	0	0	0	0	6	0	16	11	26	21	12	4
g__Trichloromonas	0	4	0	0	0	0	6	4	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__TM7x	9	0	0	0	0	0	0	0	7	15	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	3	4	3	0	0	0	0	0	0	0	0	0	2	0	0	14	0	0	0	0	0	0	3	16	19	0
g__Thauera	71	96	143	69	39	57	65	75	86	89	112	4	92	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	80	53	57	119	55	50	53	59	0	0	0	0	0	0	0	0	0	0	0	0	0	72	63	53	107	36	44
g__Terrisporobacter	0	0	155	8	0	0	0	0	0	0	0	2	0	0	0	36	0	22	59	976	0	1594	0	132	0	58	278	84	2688	0	14	0	30	0	0	0	0	0	0	0	19	0	0	8	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0
g__Sutterella	0	0	36	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	2	0	0	2	0	0	0	115	2	37	10	16	8	2	35	437	9	4	10	151	0	23	0	0	0	0	0	561
g__Sunxiuqinia	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2
g__Sulfurovum	45	24	44	28	21	33	27	0	34	45	50	50	32	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	39	38	30	69	35	41	26	50	0	0	0	0	0	0	0	0	0	0	0	0	0	39	25	57	33	32	36
g__Subdoligranulum	11	9863	9315	19	0	517	26	34	895	30	22	24	34	34	91	2098	655	728	1569	10404	99	183	172	547	45	1925	298	144	1015	74	44	51	1380	1772	160	60	1102	1032	262	900	3200	581	12	27	35	26	210	701	605	68	489	124	313	128	63	58	484	15	38	364
g__Streptococcus	4835	173	1502	108	36	280	28321	63	608	2208	3802	125	1470	405	80	114	3094	20351	217	207	318	151	1709	2214	683	139	45	1654	748	54	132	242	232	502	111	19929	1373	265	170	221	177	117	39	70	75	88	278	100	209	910	37	95	73	389	293	80	116	342	6365	175
g__Sporichthyaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	5	0	14	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Sphingobium	0	0	0	0	0	0	0	0	0	85	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	50	0	0
g__Solobacterium	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g__SL56_marine_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	69	43	26	27	11	32	51	28	49	30	28	12	0	0	0	0	0	0
g__Sellimonas	0	0	0	0	0	0	0	0	174	0	0	365	9	0	97	18	12	73	74	101	0	42	0	327	50	27	10	31	11	27	10	29	8	0	9	0	0	12	7	0	12	5	0	3	0	0	0	0	9	0	0	2	0	0	37	0	9	0	0	0
g__Sediminibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	7	0	0	0	0	0	0	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__SC-I-84	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
g__Saccharimonadales	0	0	0	0	0	0	0	0	0	392	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
g__Saccharimonadaceae	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ruminococcus	14	26	26	9	6	30	27	0	0	8	17	30	15	14	143	217	79	161	1486	378	43	139	25751	468	161	1656	87	206	85	0	46	629	537	4836	29	18	30	290	406	704	713	23	4	17	20	8	17	50	22	10	1	26	446	9	25	13	22	3	14	28
g__Ruegeria	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	4
g__Rothia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Roseburia	0	9	36	29	0	1494	10	0	319	16	14	0	0	6	205	169	12	160	855	464	19	151	0	316	47	1205	1313	268	87	0	74	516	79	0	23	12	36	1592	541	1829	245	481	48	127	176	105	106	2712	2914	106	88	286	1257	136	131	0	384	0	238	244
g__Romboutsia	89	327	202	24	6	22	11	0	89	11	11	63	15	12	81	177	93	556	297	1570	553	10563	34	2990	82	248	145	1524	395	27	178	186	404	49	372	44	743	132	202	138	38	129	5	10	97	4	7	26	90	10	72	138	90	16	201	16	67	11	55	39
g__RF39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	4	0	0	0	0	4	56	0	3	0	0	0	1	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Ramlibacter	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0
g__Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	11	8	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Pyramidobacter	0	0	0	3	0	2	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
g__Pseudomonas	0	2	0	8	2	4	4	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	13	5	5	0
g__Pseudoalteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	241	171	130	91	51	111	190	106	162	92	132	52	0	0	0	0	0	0
g__Pseudarcicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
