name	CD_1	CD_2	CD_3	CD_4	CD_5	CD_6	CD_7	CD_8	CD_9	CD_10	CD_11	CD_12	CD_13	CD_14	CT_11	CT_12	CT_13	CT_14	CT_15	CT_16	CT_17	CT_18	CT_19	CT_20	CT_21	CT_22	CT_23	CT_24	CT_25	CT_26	CT_27	CT_28	CT_1	CT_2	CT_3	CT_4	CT_5	CT_6	CT_7	CT_8	CT_9	CD_28	CD_15	CD_16	CD_17	CD_18	CD_19	CD_20	CD_21	CD_22	CD_29	CD_30	CD_31	CD_32	CT_10	CD_23	CD_24	CD_25	CD_26	CD_27
cceb08f2d69b571883a30bf6bc7ecb58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	26	26	37	13	25	58	26	46	54	26	19	0	0	0	0	0	0
7535792e4f2ca4f7a6552773400df286	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	9	34	111	16	15	0	19	9	58	0	0	0	29	397	0	0	0	0	0	0	27	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f47cd7a7781ab7d434dc4c777e6eebca	0	0	119	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	0	112	98	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
88ed8502d51d9fd6373edf647ad103d0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
c14c3234c9c640fe74adbabf461acb23	0	0	0	0	160	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	17	0	0	0	0	0	21	110	0	36	36	0	0
8957c28df613570762af4cd2bd72eed7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	146	0	0	0	0	0	0	44	0	0	10	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	409	0
5a4ab3b9c5f1fd87f98ea442c2ef629c	0	23	21	0	0	38	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	130	12	0	0	0	0	0	13	2	0	0	9	97	238	2	26	0	1	0	0	0	0	57	0	1	4	0	14	0	0	0	0	0	0	0
6288fa4d42ff7ab317a2bf3223a141d9	0	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	620	0	0	0
458935fe78dd9e0ec45bb1d02d643a95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	59	0	0	21	0	0	0	0	0	0	0	0
bbbdf12a442c4df64db7e6de2fbacc7e	0	0	16	0	0	0	0	92	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	7	322	6	8	0	8	27	0	4	5	12	0	0	0	0	0	0
bfc525b509bb0b6f337f2d50eafa9859	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	2	0	0	0	0	0	29	10	0	0	0	0	100	0	4	0	5	0	0	0	0	0	0	0	321
cdd5aaae41e8bb38d312c5c7598b7f11	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	59	54	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	87	0	0	0
31c7e3ca10935c307295e9098c7e4733	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4bbf1386adc4d2ff37008c0888c6a749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	142	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
502805f7aaac8ec5d50af54942a2e98d	7	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	34	46	0	0	18	51	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40471e6d11165171dddb4f97a03bfd4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	81	32	0	10	112	20	0	7	0	66	145	0	0	19	4	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87f49079997e8e8d579e6d26b48b19bc	0	0	45	0	0	0	0	0	0	0	0	0	220	0	0	0	0	75	51	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	20	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6f1c0eab73e8b9806a11b8ed041083ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	518	0	24	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0c08491d29234b3650fab4b96175c22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	80	0	0	0	14	0	0	0	0	0	0	0
add37a24f3f4784f93cb6d3079524c36	0	0	0	3	0	6	0	0	0	0	0	10	3	4	2	5	1	16	4	23	0	3	16	15	1	654	0	2	2	0	0	0	10	0	0	5	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
75f8b9311c219a169de11d0390cd7436	0	0	169	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	17	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
92df97185b03c9d596c2934ee9013616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	19	35	0	0	19	0	0	15	51	30	62	26	0	21	13	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4682d63f23af473e0a8afac9c58394bc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	102	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0
53837268522e695999d3c0db6a2df8bf	0	0	0	0	302	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	47	0	16	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0
907dcd4b6e724b674df776af89014a9d	0	0	0	0	0	12	0	0	13	0	0	0	89	0	0	24	0	51	0	18	0	0	0	0	0	42	0	26	78	0	0	0	20	0	0	0	0	97	73	19	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
b343a9a059de3ece67ce996070f65065	38	28	21	18	9	18	17	29	33	27	16	12	18	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	21	23	20	35	17	19	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	14	29	13	16
782e3f8acc6dc5774d377c994dab44a1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	13	84	0	0	0	0	0	0	102	0	0	35	0	46	0	8	0	16	0	17	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	57	3
6a59a572a9583b296f153f9954cf6844	0	0	0	0	0	0	2	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	75	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0
34c19fda84f65558436717bffa2f9313	18	23	35	12	6	9	18	5	24	34	21	15	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	35	12	40	25	24	30	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	32	10	25	18	15	14
deffa23cd73c3631098872455380005b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	16	295	8	8	20	42	2	0	30	15	8	0	0	0	0	0	0
8db041792488eb50b7211cb3b0d90009	0	0	0	0	0	0	0	0	15	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	31	0	8	0	0	0	0	48	32	0	0	0	27	11	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15
6bac60cbca3c8974020902ef450370a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
c86110aa552c1d49a34f912a391d9e05	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0773f9cdaf6ee6fd192d405caf11d090	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	0	4	0	4	8	6	301	0	3	0	0	0	0	0	0	0
76979c553049f70c05f369b6fd42ad82	0	0	0	0	0	11	0	0	0	0	0	39	0	0	0	3	15	91	4	0	4	5	13	148	3	51	0	0	28	0	0	0	18	0	0	0	0	70	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5a42390572c71de3aeec27a32e99a35d	0	0	37	0	0	0	0	0	46	21	32	0	6	0	0	9	18	93	16	7	7	0	2	19	0	0	0	28	0	0	0	0	16	39	10	17	22	0	0	0	12	2	0	1	0	1	2	3	4	3	0	2	3	45	0	0	4	11	0	0
cb5c1ffa90ea25599c2dac08ca52f388	0	0	44	0	0	3	0	0	0	329	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
b14b10f5ee170b2927435ba86e253def	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	38	22	0	47	0	25	0	42	55	0	0	0	0	0	0	0	0	0
