cpd_id	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
HMDB0001514	0.17626531	0.102138961	0.161701979	0.2784656	0.084482101	0.1237866	0.111552055	0.102409134
HMDB0001538	1.65E-06	0.066396104	0.062934025	1.33E-06	1.65E-06	0.0429324	0.046727397	4.18E-06
HMDB0001545	0.092976318	0.097458442	0.264280679	0.2484636	0.115939883	0.0913248	0.081708219	0.129391437
HMDB0001548	1.710471045	1.990690909	0.7896	1.581748	2.826572763	2.3230088	1.955221918	2.395365366
HMDB0001562	0.11973432	0.155106494	0.052395099	0.1138494	0.247662451	0.12488	0.179357534	0.167962702
HMDB0001587	0.000874191	0.001737662	0.001071442	0.0027272	3.89E-06	0.0012082	0.001554795	0.00176099
HMDB0001624	0.000542646	0.000537662	0.000707257	0.0007574	0.000535214	0.0004312	0.000458904	0.000603425
HMDB0001645	0.035884551	0.028462338	0.029764185	0.0254996	0.02460214	0.0184408	0.02680411	0.026410847
HMDB0001830	0.000481776	0.000344156	0.000302168	0.0002002	0.000359533	0.0002184	0.000341096	0.000398287
HMDB0001844	0.016507308	0.045498701	0.012722714	0.0269766	0.043081323	0.003325	0.010534247	0.013769553
HMDB0001852	0.051165402	0.021192208	0.016991329	0.0235704	0.00976323	0.0192346	0.012276712	0.01170352
HMDB0001866	0.039645513	0.036485714	0.034065787	0.0295456	0.031362451	0.0412006	0.03599589	0.034160799
HMDB0001867	0.068842183	0.047331169	0.096548539	0.0694582	0.046763813	0.0287588	0.060653425	0.061420171
HMDB0001873	15.38231545	2.174161039	13.25100924	16.073911	1.437549416	0.7990178	5.806354795	7.313557374
HMDB0001885	0.00759704	0.006579221	0.00694722	0.0070462	1.26E-06	0.0071848	0.006620548	0.007368982
HMDB0001890	3.943630342	2.701033766	2.839078605	2.5808818	3.954827043	3.1241238	2.766217808	3.127296289
HMDB0001892	0.008775578	0.006338961	0.006848256	0.0062412	0.011522763	0.0060676	0.00350137	0.006014272
HMDB0001901	0.05620592	0.036251948	0.035257304	0.0277788	0.045125486	0.0211876	0.051724658	0.037245861
HMDB0001906	0.163204255	0.164363636	0.097016965	0.1013852	0.134650584	0.1391586	0.174975342	0.093364415
HMDB0001919	4.97E-06	2.71E-06	1.95E-06	2.16E-06	0.006088911	2.64E-06	0.025015068	0.028522169
HMDB0001928	0.000382054	2.94E-06	1.82E-06	0.0004074	2.04E-06	0.0004508	0.000410959	0.000416936
HMDB0001939	0.001083996	0.000661039	0.000906503	0.001582	0.001035019	0.0010668	2.31E-06	0.001467935
HMDB0001954	0.204954302	0.125328571	0.062394345	0.0605822	0.038512257	0.043414	0.142180822	0.035650048
HMDB0001964	0.00746235	0.000003925	0.00541131	0.0068054	0.006056226	0.005159	0.004857534	0.006107517
HMDB0001972	0.011382609	4.60E-06	0.003790952	0.0040628	3.41E-06	0.00168	1.59E-06	0.004525024
HMDB0001987	0.001484181	0.001709091	0.0028	0.0012936	0.002970233	0.00133	0.002327397	0.001053663
HMDB0001999	239.7589064	189.5475494	282.2790839	213.5395164	167.8576739	85.3682158	173.3978068	191.48429
HMDB0002000	0.012115634	0.018732468	0.026646183	0.0503132	0.014936965	0.0066066	0.013409589	0.017370124
HMDB0002006	0.024890472	0.008093506	0.05960886	0.0252812	0.049181128	0.0117082	0.017510959	0.032369172
HMDB0002013	0.033091027	0.014811688	0.085760226	0.0444878	0.007394942	0.0090538	0.022646575	0.032888677
HMDB0002035	0.000837928	0.000481818	0.000497455	0.0006076	0.000375875	0.000126	0.000186301	0.000466223
HMDB0002063	4.403572433	4.010727273	4.155737041	6.3918148	3.184645914	1.4094892	2.480256164	2.981066223
HMDB0002068	0.035484366	0.089201299	0.026233176	0.0454804	0.067810117	0.0467642	0.076557534	0.084590105
HMDB0002074	0.000633302	0.000541558	0.00043148	0.0005068	0.000601946	0.0004284	0.000720548	0.000728639
HMDB0002085	0.002179648	3.06E-06	2.44E-06	0.0007616	0.000002099	4.25E-06	0.000004945	4.35E-06
HMDB0002092	0.020505273	0.054728571	0.027721583	0.0760284	0.031928988	0.0164682	0.007828767	0.070273073
HMDB0002095	3.75E-06	3.44E-06	1.140036758	0.2975966	0.40980642	0.2584442	2.51E-06	0.402444719
HMDB0002096	0.000366512	0.000354545	0.000506692	0.0004928	0.000404475	0.0004158	2.83E-06	0.000382303
HMDB0002107	0.001507493	0.000555844	0.000815457	0.0014364	0.001175292	0.0007952	0.001375342	0.000925785
HMDB0002108	0.011225902	4.96E-06	3.28E-06	0.0240856	3.51E-06	0.019404	0.009294521	2.95E-06
HMDB0002127	3.43E-06	1.95E-06	0.000004647	2.11E-06	3.02E-06	1.50E-06	2.49E-06	1.58E-06
HMDB0002176	0.392967438	0.046262338	0.316394722	0.2667014	0.024928988	0.0112434	0.181342466	0.129715128
HMDB0002183	0.837123589	0.570648052	0.984155137	0.6684258	0.653015564	0.3371382	0.481405479	0.588225119
HMDB0002186	0.936014616	1.138697403	1.178022809	1.505602	1.237177821	0.389095	0.752490411	1.226868887
HMDB0002199	0.005752821	0.004228571	0.00102262	0.0029666	0.000589689	4.12E-06	0.002052055	0.000390295
HMDB0002226	2.196321554	3.304090909	2.338655796	2.8205366	4.234422568	1.8012946	2.070357534	3.647789914
HMDB0002250	0.000243478	0.000136364	0.000650518	0.0001848	0.000187938	0.000161	0.000182192	0.000178497
HMDB0002271	0.0276037	0.43972987	2.38E-06	2.89E-06	0.451751946	0.0265146	0.048553425	0.024775071
HMDB0002285	3.45E-06	0.000520779	2.04E-06	0.0003976	1.59E-06	0.0004984	0.000431507	0.000551475
HMDB0002302	0.001752266	0.001033766	0.000785108	0.0021896	0.000546109	0.0004662	0.000813699	0.000522169
HMDB0002329	0.110984644	0.128848052	0.058817154	0.086009	0.057261089	0.065919	0.068490411	0.089998287
HMDB0002340	0.003447549	0.000887013	0.005138172	0.0030772	0.000848444	0.0002576	0.00400411	0.001542531
HMDB0002362	3.255841813	3.399468831	4.219857304	4.2992166	4.875746498	1.6477818	2.570931507	3.582469458
HMDB0002366	2.35E-06	0.005367532	0.006026202	3.13E-06	0.005777043	3.20E-06	4.66E-06	3.02E-06
HMDB0002393	0.207817761	0.748922078	0.184249764	0.188489	1.104081128	0.1603924	0.156891781	0.214024167
